Estado,Sigla do Estado,Índice de Custo de Vida,Salário Mínimo por Hora (USD),Ranking Ensino Superior,Breve Descrição (Apelido),Destaque Principal,Ambiente Acadêmico (Geral),Principais Cidades Universitárias,Clima (Geral),Probabilidade de Neve (0-10),Neve Média Anual (polegadas),Notas sobre Neve
Montana,MT,94.9,10.3,N/C,"Estado do Tesouro","Conhecido como 'País do Céu Aberto', com natureza vasta e o Parque Nacional Glacier.","Focado em ciências ambientais, agricultura e engenharia.","Bozeman, Missoula","Semiárido. Verões curtos e quentes; invernos longos e frios.",6.1,37.3,"Varia de 43,7 (leste) a 129,8 (sul-centro)"
Idaho,ID,92.1,7.3,N/C,"Estado da Gema","Famoso mundialmente pela produção de batatas; crescente setor de tecnologia em Boise.","Foco em agricultura e um setor crescente de engenharia/tech (Boise State).","Boise, Moscow","Variado. Semiárido (sul), continental (norte). Verões quentes e secos.",6,36.5,"Neve significativa, até 69 em áreas montanhosas"
Pennsylvania,PA,98.2,7.3,N/C,"Estado Pedra-Chave","Local de nascimento da independência dos EUA (Filadélfia). Forte histórico industrial.","Mistura de elite (UPenn, Carnegie Mellon) e grandes universidades públicas (Penn State).","Filadélfia, Pittsburgh, State College","Continental úmido. Verões quentes e úmidos; invernos frios.",5.9,35.8,Neve significativa
Connecticut,CT,113.1,15.7,N/C,"Estado da Constituição","Conhecido por suas universidades (Yale) e como uma área residencial rica para quem trabalha em NY.","Elite privada (Yale) com um bom sistema estadual.","New Haven, Storrs","4 estações definidas. Verões quentes e úmidos; invernos frios.",5.9,35.8,Neve significativa
Rhode Island,RI,113.2,12.0,N/C,"Estado do Oceano","O menor estado dos EUA, famoso por sua costa, mansões históricas (Newport) e a universidade Brown.","Foco em artes e design (RISD) e elite acadêmica (Brown).","Providence","Continental úmido. Verões quentes; invernos frios. Influência do oceano.",5.6,33.8,Neve significativa
Iowa,IA,89.7,7.3,13,"Estado do Gavião","Coração agrícola dos EUA (milho) e importante politicamente (primeiro caucus).","Fortes universidades públicas, renomado em escrita criativa (U. Iowa) e agro.","Iowa City, Ames","Continental úmido. Verões quentes e muito úmidos; invernos frios.",5.2,31.3,Neve significativa
Nebraska,NE,89.7,10.5,12,"Estado dos Descascadores de Milho","Forte na agropecuária e conhecido por suas vastas planícies.","Sistema público sólido (U. Nebraska), forte em agricultura e negócios.","Lincoln, Omaha","Continental. Verões quentes e úmidos; invernos frios e secos.",4.6,28.1,Neve significativa
Ohio,OH,92.8,10.5,N/C,"Estado do Buckeye","Importante estado industrial (Rust Belt) e politicamente decisivo ('swing state').","Sistema público grande e diverso (Ohio State) e boas faculdades privadas.","Columbus, Cleveland, Cincinnati","Continental úmido. Verões quentes e úmidos; invernos frios.",4.4,26.6,"Varia de 20 (sul) a 40,6 (norte)"
West Virginia,WV,88.5,8.8,N/C,"Estado das Montanhas","Definido pelas Montanhas Apalaches e sua história na mineração de carvão.","Focado na universidade estadual (WVU), forte em engenharia (energia).","Morgantown","Continental úmido. 4 estações, clima de montanha. Verões amenos.",4.1,25.1,Varia de 17 a 70 polegadas (montanhas)
New Jersey,NJ,114.1,15.1,N/C,"Estado Jardim","Apesar do apelido, é densamente povoado, com forte indústria farmacêutica e subúrbio de NY e Filadélfia.","Elite privada de ponta (Princeton) e um sistema público extenso.","Princeton, New Brunswick","Continental úmido. Verões quentes e muito úmidos; invernos frios.",3.9,23.7,Neve moderada
New Mexico,NM,94.0,12.0,N/C,"Terra do Encantamento","Uma mistura única de culturas hispânicas e nativo-americanas. Famoso pela arte (Santa Fe) e ciência (Los Alamos).","Foco único em pesquisa científica (Los Alamos/Sandia) e artes (Santa Fe).","Albuquerque, Santa Fe","Árido/Desértico. Verões quentes e secos; invernos amenos (sul) a frios (norte).",3.7,22.7,"Neve moderada, mais em áreas montanhosas"
Indiana,IN,90.6,7.3,N/C,"Estado Hoosier","Paixão por basquete, sede da corrida Indy 500 e forte na manufatura.","Grandes universidades públicas com focos distintos (Purdue-Engenharia, IU-Negócios).","Bloomington, West Lafayette","Continental úmido. Verões quentes e úmidos; invernos frios.",3.6,21.9,Neve moderada
Illinois,IL,94.5,15.0,N/C,"Estado da Pradaria","Dominado por Chicago (centro financeiro e de arquitetura) e vastas terras agrícolas.","Elite urbana (UChicago, Northwestern) e forte pesquisa em engenharia (U. Illinois).","Chicago, Urbana-Champaign","Continental úmido. Verões quentes e úmidos; invernos frios e ventosos.",3.6,21.8,Neve moderada
Maryland,MD,119.5,15.0,14,"Estado da Velha Linha","Forte em biotecnologia e governo (proximidade com Washington D.C.) e frutos do mar (caranguejo).","Foco em governo, saúde de elite (Johns Hopkins) e biotecnologia.","Baltimore, College Park","Subtropical úmido. Verões quentes e muito úmidos; invernos amenos/frios.",3.4,20.6,"Varia de 10,5 (costa) a 70 (montanhas)"
Nevada,NV,101.2,11.3,11,"Estado da Prata","Mundialmente famoso por Las Vegas (entretenimento e jogos de azar). Grande parte do estado é deserto.","Especializado em hospitalidade e gestão de hotelaria (Las Vegas).","Las Vegas, Reno","Desértico/Árido. Verões extremamente quentes e secos; invernos amenos.",3,18.2,"Neve moderada, até 60 em áreas montanhosas"
Washington,WA,115.1,16.3,2,"Estado Sempre-Verde","Sede de gigantes da tecnologia (Microsoft, Amazon) e cultura do café (Starbucks). Muita natureza.","Forte hub de tecnologia e engenharia (U. Washington), ambiente progressista.","Seattle","Temperado marítimo (oeste): chuvoso, nublado, amenos. Seco (leste).",2.6,15.6,"Varia, até 645 em Mount Rainier"
Kansas,KS,86.5,7.3,15,"Estado do Girassol","Coração agrícola dos EUA (trigo) e cenário de 'O Mágico de Oz'.","Universidades públicas sólidas com foco em agricultura e engenharia (aviação).","Lawrence, Manhattan","Continental. Verões quentes (extremos); invernos frios. Risco de tornados.",2.5,15.4,Neve moderada
Virginia,VA,101.0,12.0,N/C,"O Velho Domínio","Berço de presidentes e local de muitas batalhas da Guerra Civil. Forte presença militar e governamental.","Excelentes universidades públicas (UVA, VaTech), foco em governo e história.","Charlottesville, Blacksburg","Subtropical úmido. 4 estações. Verões quentes e úmidos; invernos amenos.",2.4,14.8,"Neve leve, até 70 nas montanhas"
Delaware,DE,102.7,13.3,N/C,"O Primeiro Estado","Conhecido por ser o 'paraíso fiscal' corporativo dos EUA; a maioria das empresas do país é registrada lá.","Foco em negócios e engenharia química (U. Delaware).","Newark","Temperado marítimo. Verões quentes e úmidos; invernos amenos/frios.",2.2,13.3,Neve leve
Missouri,MO,88.7,12.3,N/C,"Estado 'Mostre-me'","Conhecido como 'Portão para o Oeste' (St. Louis) e pelo churrasco (Kansas City).","Boas universidades privadas (WashU) e um forte sistema público (Mizzou).","St. Louis, Columbia","Continental. Verões quentes e muito úmidos; invernos frios.",2.1,12.7,Neve moderada
Oregon,OR,115.1,14.2,N/C,"Estado do Castor","Famoso pela cultura alternativa (Portland), paisagens naturais (costa e florestas) e sede da Nike.","Ambiente progressista, foco em sustentabilidade, design e esportes (Nike).","Portland, Eugene, Corvallis","Temperado (oeste): chuvoso, amenos. Semiárido (leste).",1.8,10.9,"Varia de 0,1 (costa) a 10 (leste)"
Kentucky,KY,89.0,7.3,N/C,"Estado do 'Bluegrass'","Centro mundial da criação de cavalos de corrida e da produção de bourbon.","Universidades estaduais com foco em saúde, agricultura e engenharia.","Lexington, Louisville","Subtropical úmido. 4 estações. Verões quentes e úmidos; invernos frios.",1.5,8.8,Neve leve
Arizona,AZ,97.8,14.4,N/C,"Estado do Grand Canyon","Definido pelo Grand Canyon e pelo clima de deserto. Popular entre aposentados no inverno.","Universidade pública massiva (ASU) focada em inovação e negócios.","Tempe, Tucson","Desértico/Árido. Verões extremamente quentes e secos; invernos amenos.",1.3,7.6,"Neve leve, até 100 em áreas montanhosas como Flagstaff"
Oklahoma,OK,88.7,7.3,N/C,"Estado 'Sooner'","Grande presença de cultura Nativa Americana e forte indústria de petróleo e gás.","Foco em engenharia de petróleo e forte presença de cultura nativa.","Norman, Stillwater","Continental. Verões muito quentes; invernos amenos. Risco de tornados.",1,5.9,Neve leve
Tennessee,TN,90.2,7.3,N/C,"Estado do Voluntário","Berço da música country (Nashville) e do blues (Memphis).","Elite privada (Vanderbilt) e foco em negócios da música (Nashville).","Nashville","Subtropical úmido. Verões quentes e úmidos; invernos amenos/frios.",0.8,4.6,Neve mínima
North Carolina,NC,94.9,7.3,7,"Estado 'Tar Heel'","Centro de pesquisa e tecnologia (Research Triangle Park) e um grande polo bancário (Charlotte).","Polo de pesquisa de elite (Duke, UNC) focado em tech e medicina.","Chapel Hill, Durham, Raleigh","Subtropical úmido. Verões quentes e muito úmidos; invernos amenos.",0.8,5.0,"Neve leve, até 10 nas montanhas"
Arkansas,AR,88.7,11.0,N/C,"Estado Natural","Sede da maior varejista do mundo (Walmart) e conhecido pelas montanhas Ozarks.","Foco em logística e negócios (influência do Walmart) e agricultura.","Fayetteville","Subtropical úmido. Verões quentes e úmidos; invernos amenos.",0.7,4.0,Neve mínima
California,CA,134.3,16.0,3,"Estado Dourado","Centro global de tecnologia (Vale do Silício) e entretenimento (Hollywood). Muito caro.","Sistema público de elite (UCs) e pesquisa de ponta (Stanford). Muito competitivo.","Berkeley, Los Angeles, Stanford","Muito variado: Mediterrâneo (costa), desértico (interior), alpino (montanhas).",0.6,3.8,"Quase sem neve, exceto em áreas montanhosas (até 28)"
Mississippi,MS,85.3,7.3,N/C,"Estado da Magnólia","Berço do Blues, coração do 'Deep South', com forte história na era dos Direitos Civis.","Foco em agricultura e cultura/história regional.","Oxford, Starkville","Subtropical úmido. Verões longos, quentes e úmidos; invernos curtos e amenos.",0,0.7,Quase sem neve
Alabama,AL,87.9,7.3,N/C,"Estado do 'Yellowhammer' (Pássaro)","Paixão por futebol americano universitário e um centro da história dos Direitos Civis.","Forte em engenharia; a vida social gira em torno do esporte universitário.","Tuscaloosa, Auburn","Subtropical úmido. Verões longos, quentes e úmidos; invernos amenos.",0,0.6,Quase sem neve
Georgia,GA,89.7,7.3,N/C,"Estado do Pêssego","Hub de transporte (Atlanta) e negócios. Importante na história dos Direitos Civis.","Forte polo de pesquisa técnica (Georgia Tech) e medicina (Emory).","Atlanta","Subtropical úmido. Verões quentes e muito úmidos; invernos amenos.",0,0.8,Quase sem neve
Louisiana,LA,92.0,7.3,N/C,"Estado do Pelicano","Cultura única de Nova Orleans (Mardi Gras, Jazz) e culinária Creole/Cajun.","Ambiente culturalmente rico, foco em artes, música e ciências marinhas.","Baton Rouge, New Orleans","Subtropical úmido. Verões longos, quentes e muito úmidos; invernos amenos.",0,0.0,Sem neve
Texas,TX,92.8,7.3,N/C,"Estado da Estrela Solitária","Famoso pelo petróleo e gás, cultura de 'cowboy', churrasco e NASA (Houston).","Sistema público massivo (UT, A&M), forte em engenharia (petróleo, aero) e negócios.","Austin, College Station, Houston","Muito variado: Subtropical úmido (leste), árido/desértico (oeste). Verões muito quentes.",0,1.4,Quase sem neve
South Carolina,SC,95.3,7.3,N/C,"Estado da Palmeira-Anã","Conhecido pela hospitalidade sulista, cidades históricas (Charleston) e praias.","Foco em negócios internacionais, turismo e engenharia (manufatura).","Columbia, Clemson","Subtropical úmido. Verões quentes e muito úmidos; invernos amenos.",0,1.5,Quase sem neve
Florida,FL,100.3,13.0,1,"Estado do Sol","Referência mundial em turismo (Disney, praias) e destino popular para aposentados.","Sistema público em rápida ascensão (UFlorida), foco em hospitalidade e saúde.","Gainesville, Tallahassee, Miami","Subtropical/Tropical. Quente e muito úmido o ano todo. Risco de furacões.",0,0.0,Sem neve
Hawaii,HI,193.3,14.0,N/C,"Estado Aloha","Arquipélago tropical no Pacífico, famoso pelo turismo, surf e cultura polinésia.","Foco único em oceanografia, biologia marinha e turismo.","Manoa (Honolulu)","Tropical. Quente e agradável o ano todo, com pequenas variações.",0,0.0,"Sem neve, exceto em picos vulcânicos (raro)"
